Series Name,Series Code,Country Name,Country Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,Afghanistan,AFG,15270.5,15312.85,16854.19,19578.7,20435.21,22561.36,22073.09,24448.73,25134.53,..
Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,Bangladesh,BGD,351916.4,356329.3,358705.3,363747.3,368449.7,372529.9,377762.7,381507.4,386058.6,..
Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,China,CHN,8108961,7986006,7920214,7871450,7655961,8069989,8275653,8744472,9084482,..
Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,India,IND,7041745,7130872,7236991,7376893,7553407,7628053,7791782,7903163,8011645,..
Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,United Kingdom,GBR,102465,155496.3,175739.7,198481.1,218559.6,243652.1,309751.8,358785.1,429157.5,..
Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,United States,USA,3755210,3989400,4070025,4327122,4663837,4802944,5052304,5175231,5097931,..
Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,United Arab Emirates,ARE,1509.216,1693.979,1848.012,1971.187,2032.817,2032.817,2312.387,2912.179,2869.892,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Sustainable Energy for All,,,,,,,,,,,,,
Last Updated: 06/30/2018,,,,,,,,,,,,,
